Image,Class,Nose_X,Nose_Y,Nose_Confidence,Left_Eye_X,Left_Eye_Y,Left_Eye_Confidence,Right_Eye_X,Right_Eye_Y,Right_Eye_Confidence,Left_Ear_X,Left_Ear_Y,Left_Ear_Confidence,Right_Ear_X,Right_Ear_Y,Right_Ear_Confidence,Left_Shoulder_X,Left_Shoulder_Y,Left_Shoulder_Confidence,Right_Shoulder_X,Right_Shoulder_Y,Right_Shoulder_Confidence,Left_Elbow_X,Left_Elbow_Y,Left_Elbow_Confidence,Right_Elbow_X,Right_Elbow_Y,Right_Elbow_Confidence,Left_Wrist_X,Left_Wrist_Y,Left_Wrist_Confidence,Right_Wrist_X,Right_Wrist_Y,Right_Wrist_Confidence,Left_Hip_X,Left_Hip_Y,Left_Hip_Confidence,Right_Hip_X,Right_Hip_Y,Right_Hip_Confidence,Left_Knee_X,Left_Knee_Y,Left_Knee_Confidence,Right_Knee_X,Right_Knee_Y,Right_Knee_Confidence,Left_Ankle_X,Left_Ankle_Y,Left_Ankle_Confidence,Right_Ankle_X,Right_Ankle_Y,Right_Ankle_Confidence
C:\miniproject\dataset\B_L_GB\1700.jpg,B_L_GB,0.37133533,0.40238315,0.2429056,0.36296573,0.39899448,0.49164402,0.36550462,0.41008434,0.55702394,0.3700103,0.38885617,0.50376683,0.36745316,0.41938624,0.68477917,0.4089841,0.37301353,0.56058764,0.40059134,0.43905896,0.55886596,0.46398544,0.36359495,0.540158,0.44267955,0.4515959,0.5104745,0.4918986,0.3845869,0.25347435,0.49388832,0.44531584,0.3297136,0.50739986,0.3856958,0.6652492,0.50545734,0.43164623,0.6500721,0.5820429,0.39050353,0.53393376,0.5864481,0.43947896,0.48084465,0.6555282,0.39416635,0.39411527,0.680499,0.43623716,0.37694538
C:\miniproject\dataset\B_L_GB\1701.jpg,B_L_GB,0.37227398,0.40603104,0.42126015,0.3616732,0.40233055,0.47568667,0.3635744,0.41251215,0.47259024,0.3689646,0.39010558,0.54988366,0.36645377,0.4212739,0.63681585,0.4086647,0.3723284,0.5401907,0.40223417,0.4406184,0.5043059,0.46354744,0.36266458,0.5187202,0.44590178,0.45181918,0.46002445,0.4877406,0.38589308,0.23518471,0.49373245,0.44537786,0.30167446,0.50858647,0.38733703,0.6892583,0.50671065,0.4341467,0.6563835,0.5827292,0.39163727,0.5048146,0.58963305,0.43958497,0.47999382,0.65628344,0.39548448,0.4990068,0.68648946,0.4345765,0.31358403
C:\miniproject\dataset\B_L_GB\1702.jpg,B_L_GB,0.37181264,0.40572354,0.41121787,0.36165327,0.40175724,0.4740648,0.36355484,0.4121239,0.47794613,0.36949337,0.38964427,0.52371603,0.36686966,0.42098296,0.6373152,0.40861207,0.37270772,0.5303907,0.40324786,0.44077033,0.4916522,0.46378788,0.36370522,0.54401207,0.4483533,0.45094442,0.50322336,0.48972917,0.38458547,0.26076648,0.48881572,0.4453722,0.32454202,0.50744224,0.38748145,0.6812909,0.5069617,0.4340319,0.6596578,0.582321,0.39150634,0.50647795,0.5909784,0.4397389,0.45117036,0.6554576,0.39505684,0.4887483,0.68636286,0.43495873,0.33080962
C:\miniproject\dataset\B_L_GB\1703.jpg,B_L_GB,0.3714082,0.40744722,0.41922814,0.36180097,0.4029371,0.45861894,0.36344728,0.41331962,0.44569093,0.36954415,0.38929296,0.5091234,0.36677206,0.4207793,0.64286566,0.40376222,0.37352398,0.53079844,0.40253702,0.44080102,0.49823788,0.4684944,0.36542374,0.53935534,0.45118558,0.44935936,0.48124546,0.49246088,0.38438156,0.24703003,0.4891051,0.4432416,0.30055168,0.508117,0.38866073,0.6812892,0.50612676,0.4337273,0.65838313,0.5866479,0.39419648,0.5206654,0.59048396,0.44009,0.45817012,0.6540737,0.39295703,0.45941684,0.6851374,0.43517667,0.34214196
C:\miniproject\dataset\B_L_GB\1704.jpg,B_L_GB,0.3721384,0.40641907,0.3956132,0.3619763,0.40221933,0.43663704,0.3643265,0.41258627,0.45360324,0.36974722,0.3888691,0.4988514,0.36744606,0.42112356,0.6433106,0.40364164,0.3741996,0.5145125,0.401957,0.4404753,0.50250983,0.46709862,0.36579585,0.5163525,0.45032293,0.44830486,0.45613217,0.4943266,0.3880423,0.2932841,0.48349836,0.44217178,0.25159195,0.50688136,0.38501954,0.476316,0.504374,0.43381935,0.6442402,0.57907003,0.39284772,0.44537693,0.58699065,0.43960127,0.46917048,0.65076435,0.39054236,0.35243386,0.68265855,0.43727052,0.3644574
C:\miniproject\dataset\B_L_GB\1705.jpg,B_L_GB,0.37239772,0.4065204,0.41648254,0.36181825,0.40254214,0.47821048,0.36429363,0.4126891,0.46323705,0.36944085,0.3897887,0.55368745,0.36628303,0.41678348,0.5130176,0.40687245,0.37014344,0.48353258,0.40196997,0.4427576,0.54271245,0.46391058,0.36674684,0.5079749,0.4492673,0.4500387,0.45416692,0.48820803,0.3894312,0.3028816,0.47772706,0.44485804,0.2557059,0.5042691,0.38743496,0.5154547,0.5028733,0.43560582,0.60689735,0.57407576,0.39269444,0.5446508,0.5847951,0.44144017,0.39612976,0.6487318,0.38690335,0.4603486,0.6833256,0.4349852,0.2991613
C:\miniproject\dataset\B_L_GB\1706.jpg,B_L_GB,0.37280935,0.4059228,0.41350344,0.36191282,0.40222943,0.46572098,0.36462674,0.41225973,0.4887098,0.36985606,0.390735,0.5632374,0.36616227,0.41647905,0.525239,0.40756682,0.37158385,0.5087167,0.4007403,0.44232297,0.5968631,0.4655969,0.36960125,0.4747309,0.44723085,0.4515999,0.47229078,0.49243897,0.38866052,0.31207663,0.48184547,0.44421458,0.26897746,0.5039169,0.3869484,0.5135006,0.5026743,0.43492392,0.6360264,0.57825315,0.39384392,0.48266238,0.587568,0.4404322,0.49487907,0.6503289,0.39307755,0.3040647,0.68355066,0.43738797,0.37113634
C:\miniproject\dataset\B_L_GB\1707.jpg,B_L_GB,0.3705397,0.40641013,0.39047092,0.35993913,0.40274507,0.42881334,0.36250335,0.41281363,0.38133225,0.36786926,0.39097422,0.57262254,0.36348954,0.41736937,0.5557951,0.40520692,0.37391526,0.59506196,0.3987118,0.44115284,0.5943685,0.46184975,0.36649436,0.49600437,0.44217885,0.45059472,0.36828867,0.48514476,0.3852813,0.21081908,0.48217902,0.44714573,0.29533744,0.5005571,0.38929933,0.5065185,0.50007695,0.43582422,0.5827593,0.5735535,0.39269805,0.5234298,0.5833489,0.43977597,0.46066362,0.65013915,0.3956852,0.36784184,0.6794838,0.43739337,0.3456371
C:\miniproject\dataset\B_L_GB\1708.jpg,B_L_GB,0.36651617,0.40943944,0.39958298,0.35732332,0.4039503,0.33350667,0.35856578,0.41387898,0.26433048,0.36548963,0.3902878,0.53448236,0.36136097,0.41732734,0.5306785,0.4041679,0.3771927,0.5866722,0.39833853,0.43967676,0.5779844,0.46808165,0.36658254,0.47076282,0.4464256,0.45109805,0.3399796,0.4908228,0.38721123,0.21680564,0.4921255,0.44817433,0.31704935,0.5042412,0.38547012,0.47031265,0.5037001,0.4335361,0.6603025,0.5775121,0.39154273,0.500649,0.5830529,0.4396482,0.48040238,0.6498937,0.39306766,0.3829254,0.6769278,0.43763942,0.3701093
C:\miniproject\dataset\B_L_GB\1709.jpg,B_L_GB,0.36406505,0.4157169,0.38332298,0.35651827,0.40910566,0.2851463,0.35700318,0.41792056,0.3490713,0.36472803,0.39145297,0.5770682,0.36052966,0.41937155,0.5607722,0.40172482,0.37114888,0.56941366,0.39848602,0.44111505,0.57513726,0.46158272,0.3704418,0.45454308,0.4468964,0.45057657,0.33236617,0.4843193,0.39223692,0.2689128,0.48253116,0.4489213,0.2739777,0.50273705,0.38601574,0.47552022,0.502941,0.4349351,0.61566174,0.5728583,0.39390257,0.53449106,0.5829481,0.4408026,0.44389477,0.6529607,0.39624703,0.40496573,0.67716134,0.43509582,0.33384946
